ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B007Q9L9BW","0008222525820","Prince of Persia: The Forgotten Sands 【北米版】","UBI Soft","6,480","7,420","","","1,839","5,581","1","○","","",""
"B001ASJISG","0008888225003","Prince of Persia(輸入版)","UbiSoft(World)","2,476","2,816","1","6","341","10","7","○","45,749","","2008/12/02"
"B000CBVC0Y","0008888522942","Tom Clancy's Splinter Cell Double Agent(XBOX360 輸入版　北米）","Electronic Arts","2,090","2,090","1,858","9","1,350","260","2","○","50,415","",""
"B000MTF054","0008888523154","Dark Messiah of Might and Magic（XBOX360 輸入版　北米）日本版XBOX360動作可","UBI Soft","1,890","1,890","960","6","1,890","860","1","○","38,252","",""
"B000G5R8JU","0008888523161","Import Tuner Challenge (輸入版)","UbiSoft(World)","6,059","6,409","5,320","3","6,409","5,320","1","○","54,386","","2006/09/26"
"B000G7PMXC","0008888523215","【輸入版：アジア】Rainbow Six: Vegas","UbiSoft(World)","8,100","3,485","1","6","340","1","14","○","21,182","2","2006/11/24"
"B000Q4VK86","0008888523659","America's Army： True Soldiers - アメリカズアーミー トゥルー ソルジャーズ (Xbox 360 海外輸入北米版)","UBI Soft","10,780","10,780","289","5","9,150","1,630","1","○","","",""
"B000Q36UJQ","0008888523727","Naruto: Rise of a Ninja(輸入版)","UbiSoft(World)、￥ 589","","6,750","280","7","1,855","0","8","×","29,127","","2007/10/30"
"B000SQ5LO6","0008888523796","Beowulf: The Game","UBI Soft","3,104","3,008","96","6","1,450","1,558","2","○","36,632","",""
"B000VNS9D6","0008888523819","【輸入版:北米】Lost: Via Domus","UBI Soft","1,490","1,490","10","14","1,125","365","5","○","24,557","2",""
"B0020KXYPG","0008888524274","R.U.S.E(輸入版:北米・アジア)","UbiSoft(World)","5,600","2,790","840","12","2,790","840","1","○","18,278","","2010/09/07"
"B001RTCOWK","0008888525141","Call of Juarez: Bound in Blood(輸入版)","UbiSoft(World)","2,448","2,447","1","6","2,274","173","1","○","31,332","","2009/06/30"
"B00269DXCK","0008888525349","Assassin's Creed II(輸入版:北米・アジア)","UbiSoft(World)","","2,080","0","11","1,558","302","2","×","25,241","","2009/11/17"
"B0030GBUCS","0008888525820","Prince of Persia: The Forgotten Sands(輸入版:アジア)","UbiSoft(World)","6,160","1,889","1","13","1,340","549","4","○","42,103","","2010/05/18"
"B003ZS2PWK","0008888526001","CSI: Fatal Conspiracy(輸入版)","UbiSoft(World)","2,590","2,590","1,540","8","1,441","43","4","○","40,680","","2010/10/26"
"B003L8HQ7S","0008888526254","Assasin's Creed Brotherhood (輸入版・北米・アジア)","UbiSoft(World)","1,155","1,155","10","15","805","8","2","○","31,735","","2010/11/16"
"B003MUNG0G","0008888526261","Tom Clancy's HAWX 2(輸入版:北米・アジア)","UbiSoft(World)","2,490","2,490","200","7","1,350","360","2","○","38,957","","2010/09/07"
"B002I0H95E","0008888526360","Motion Sports(輸入版)","UbiSoft(World)","5,180","2,787","3","9","1,512","198","3","○","32,674","","2010/11/04"
"B0043B5SKE","0008888526575","Fighters Uncaged(輸入版)","UbiSoft(World)","1,990","1,990","0","7","1,085","0","4","○","36,867","","2010/11/04"
